"last_name, first_name","player_id","year","player_age","pa","ab","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","p_win","p_loss","p_era","p_hit_into_play","xslg","woba","xwoba","xiso","avg_swing_speed","fast_swing_rate","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","groundballs_percent","flyballs_percent","n_ff_formatted","n_sl_formatted","n_ch_formatted","n_cu_formatted","n_si_formatted","n_fc_formatted","n_fs_formatted","n_st_formatted","n_sv_formatted","n_fo_formatted","n_sc_formatted","n_fastball_formatted","n_breaking_formatted"
"Allen, Logan",671106,2025,26,676,600,157,108,31,0,18,122,62,18,9.2,".262",".403",".334","0.737","0.141",".299","8","11","4.25","486",".421",".323",".326",".174","72",25,"88.6",32.8,9.1,37.5,"77.201543485","94.148613721",20.6,44.3,45.6,23.5,"33.1","0.2","18.5",,"13.6","11.1",,"23.5",,,,"57.8","23.7"
"McCullers Jr., Lance",621121,2025,31,274,227,61,38,12,1,10,61,39,22.3,14.2,".269",".463",".392","0.855","0.194",".327","2","5","6.51","166",".428",".376",".353",".186","72.2",27.9,"90.5",33.7,11.4,50,"79.437344337","95.287341084",25.1,40,47.6,25.9,"5.4",,"17","16.4","24.7","4.5",,"32",,,,"34.6","48.4"
"Hoffman, Jeff",656546,2025,32,287,253,54,25,14,0,15,84,27,29.3,9.4,".213",".447",".298","0.745","0.234",".252","9","7","4.37","172",".409",".320",".301",".209","71.8",23.4,"89.3",31.4,12.8,39.5,"77.817843765","94.667665118",31.6,50.7,40.7,26.7,"37.4","29.9",,,"8.9",,"23.8",,,,,"46.3","29.9"
"Uceta, Edwin",670955,2025,27,321,282,62,38,11,2,11,103,27,32.1,8.4,".220",".390",".303","0.693","0.170",".298","10","3","3.79","183",".395",".300",".306",".176","72.7",30.7,"88.6",39.3,9.3,36.6,"76.979023222","94.165568324",35.6,53,32.8,34.4,"40.6",,"38.9",,"1.6","15.9",,"3",,,,"58.2","3"
"Priester, Quinn",682990,2025,24,653,593,145,91,34,2,18,132,50,20.2,7.7,".245",".400",".309","0.709","0.155",".285","13","3","3.32","465",".370",".310",".298",".133","72.2",26.3,"89",28.6,7.3,39.4,"78.202069039","94.11122105",24.5,46.2,55.7,19.1,,"26.9","1.5","9.3","41.7","20.6",,,,,,"62.3","36.2"
"Paddack, Chris",663978,2025,29,670,619,166,99,32,4,31,112,37,16.7,5.5,".268",".483",".308","0.791","0.215",".278","5","12","5.35","518",".488",".336",".344",".214","71.6",24,"90.7",35.9,10.2,45.6,"79.944242314","95.130759451",20.7,51.3,37.5,28.2,"43.2","2.3","23.5","11.9","5.2","13.9",,,,,,"62.3","14.1"
"Matz, Steven",571927,2025,34,309,293,73,49,13,3,8,59,11,19.1,3.6,".249",".396",".280","0.676","0.147",".285","5","2","3.05","237",".404",".291",".287",".171","71",20.3,"88.4",31.6,6.3,40.5,"76.773139914","94.236201645",18.8,48.6,47.7,21.5,,"1.6","18.2","21.8","58.4",,,,,,,"58.4","23.4"
"Scherzer, Max",453286,2025,40,358,332,87,47,21,0,19,82,23,22.9,6.4,".262",".497",".313","0.810","0.235",".293","5","5","5.19","251",".482",".346",".332",".237","72.6",29.3,"88.3",38.2,12.4,38.2,"76.999474683","94.042422948",23.6,50.1,27.5,37.1,"48.5","23.7","14","11.9",,"1.9",,,,,,"50.4","35.5"
"De Los Santos, Enyel",660853,2025,29,280,252,61,37,16,1,7,62,24,22.1,8.6,".242",".397",".312","0.709","0.155",".293","6","3","4.36","192",".413",".308",".316",".168","71.9",24.9,"87.6",38,8.9,40.1,"74.797166146","94.296939162",30,51.6,33.3,26.6,"48.9","35.9","15.2",,,,,,,,,"48.9","35.9"
"Gaddis, Hunter",683769,2025,27,274,248,58,39,9,2,8,73,21,26.6,7.7,".234",".383",".294","0.677","0.149",".296","2","2","3.11","179",".384",".293",".298",".157","71.4",20,"90.1",34.1,9.5,39.1,"79.689629318","94.667482443",32.2,50.9,37.4,30.7,"33.1","53.7","13.3",,,,,,,,,"33.1","53.7"
"Rodríguez, Randy",678495,2025,25,198,182,34,24,6,0,4,67,11,33.8,5.6,".187",".286",".247","0.533","0.099",".268","3","5","1.78","116",".308",".239",".251",".120","70.9",17.8,"87",27.6,7.8,36.2,"74.880712931","93.639142783",31.1,49.8,37.1,31,"55.4","44.6",,,,,,,,,,"55.4","44.6"
"Rogers, Tyler",643511,2025,34,299,288,66,54,7,1,4,48,7,16.1,2.3,".229",".302",".248","0.550","0.073",".261","4","6","1.98","242",".311",".241",".256",".065","70.7",16.5,"85.8",26,2.1,33.1,"73.504614202","93.082203445",15.9,54.6,61.6,12.8,,"25.5",,,"74.5",,,,,,,"74.5","25.5"
